"cptcode","cptdesc"
"",
"01",XRAY RIGHT ELBOW AP LAT
"119",ENDOSCOPIC PROCEDURES (COLONOSCOPY & GASTROSCOPY)
"1200",XRAY HAND APO/BILATERAL
"2D15897F56","2D- ECHO WITH DOPPLER, MYOCARDIAL STRAIN, TISSUE DOPPLER"
"82941001",GASTRIN
"83090001",HOMOCYSTEINE
"89050",BODY FLUID CELL COUNT
A-AU001,HEARING TEST PACKAGE (PURE TONE AUDIOMETRY/TYMPANOMETRY/SPEECH AUDIOMETRY)
A-AU009,PURE TONE AUDIOMETRY WITH  BONE CONDUCTION AND TYMPANOMETRY
A-CT001,CT SCAN-WHOLE ABDOMEN (STAT)
A-CT007,CT SCAN WITH BONE WINDOW
A-CT016,CT SCAN-CHEST W/CONTRAST
A-CT018,CT SCAN-WHOLE ABDOMEN WITH IV CONTRAST
A-CT027,CT SCAN-CHEST/WHOLE ABDOMEN PLAIN
A-CT0277412,CT SCAN CHEST HR
A-CT028,CT-SCAN LOWER ABDOMEN PLAIN
A-CT045,CT CARDIAC CALCIUM SCORE
A-CT061,CT SCAN-CERVICAL & NECK WITH CONTRAST
A-CT068,CT SCAN-CHEST AND WHOLE ABDOMEN WITH IV AND  ORAL CONTRAST
A-CT073,CT SCAN 3D VOLUME FACIAL WITHOUT CONTRAST
A-CT077,CT STONOGRAM W/IV CONTRAST
A-CT088,CT SCAN-WHOLE ABDOMEN WITH PANCREATIC PROTOCOL
A-CT089,CT SCAN WHOLE ABDOMEN TRIPHASIC WITHOUT ORAL CONTRAST
A-CT092,CT SCAN OF CHEST AND  WHOLE ABDOMEN  IV ORAL RECTAL CONTRAST
A-CT098,CT SCAN OF ABDOMEN TRIPHASIC
A-CT100,CT SCAN - AORTOGRAM WITH CONTRAST
A-CT1188,CT SCAN-WHOLE ABDOMEN WITH IV AND RECTAL CONTRAST
A-CT1211,CT SCAN WHOLE ABDOMINAL PLAIN
A-CT129,CT SCAN-CHEST AND WHOLE ABDOMEN WITH CONTRAST
A-CT131,CT-SCAN WHOLE ABDOMINAL WITH ORAL RECTAL IV CONTRAST
A-CT1320,CT SCAN OF THE FACIAL AREA
A-CT136,CTSCAN - WHOLE BODY SCAN WITH SPECT CT
A-CT196,CT SCAN-WHOLE ABDOMEM WITH ORAL RECTAL AND IV CONTRAST
A-CT386501,CT SCAN-CRANIAL PLAIN STAT
A-CT609,CT SCAN WHOLE ABDOMEN AND PELVIC TRIPLE CONTRAST
A-CT902,CRANIAL CT-SCAN WITH CONTRAST
A-END002,GASTROSCOPY + COLONOSCOPY WITH SEDATION
A-END009,ENDOSCOPIC OTOSCOPY WITH VIDEO
A-EY001,"VFT (VISUAL FIELD TEST), OCT (OPTICAL COHERENCE TOMOGRAPHY), FUNDUS PHOTO (PACKAGE)"
A-EY004,SLIT LAMP BIOMICROSCOPY
A-EY007,BIOMETRY - BOTH EYES
A-EY008,KERATOCONUS SCREENING
A-EY013,VISUAL FIELD-BOTH EYES
A-EY017,OCT (OPTIC NERVE)
A-EY018,OPTICAL COHERENT TOMOGRAPHY OPTIC NERVE HEAD (BOTH EYES)
A-EY020,FLUORESCEIN ANGIOGRAPHY WITH READING
A-EY026,DRY EYE PACKAGE
A-EY028,INTRAOCULAR LENS (IOL) MASTER(BIOMETRY) BOTH EYES
A-EY035,DISC PHOTO OU
A-EY041,OCT ( OPTICAL COHERENCE TOMOGRAPHY) MACULA OS
A-LAB-STAT002,TOTAL IGE (FOR ALLERGENS) - STAT
A-LAB-STAT003,CK TOTAL-STAT
A-LAB003,SPUTUM AFB (3X)
A-LAB0041,ESTIMATED GLOMERULAR FILTRATION RATE (EGFR)-CRYSTATIN C
A-LAB010,SPIROMETRY WITH PFT KIT
A-LAB0106,CHEM RENAL PANEL PRE
A-LAB0112,ANA-IF (FASTING)
A-LAB0113,URINE GRAM STAIN/CULTURE & SENSITIVITY WITH ARD
