"cptcode","cptdesc"
"01",XRAY RIGHT ELBOW AP LAT
"119",ENDOSCOPIC PROCEDURES (COLONOSCOPY & GASTROSCOPY)
"1200",XRAY HAND APO/BILATERAL
"2D15897F56","2D- ECHO WITH DOPPLER, MYOCARDIAL STRAIN, TISSUE DOPPLER"
"83090001",HOMOCYSTEINE
A-CT001,CT SCAN-WHOLE ABDOMEN (STAT)
A-CT016,CT SCAN-CHEST W/CONTRAST
A-CT018,CT SCAN-WHOLE ABDOMEN WITH IV CONTRAST
A-CT045,CT CARDIAC CALCIUM SCORE
A-CT088,CT SCAN-WHOLE ABDOMEN WITH PANCREATIC PROTOCOL
A-CT092,CT SCAN OF CHEST AND  WHOLE ABDOMEN  IV ORAL RECTAL CONTRAST
A-CT100,CT SCAN - AORTOGRAM WITH CONTRAST
A-CT196,CT SCAN-WHOLE ABDOMEM WITH ORAL RECTAL AND IV CONTRAST
A-CT386501,CT SCAN-CRANIAL PLAIN STAT
A-CT609,CT SCAN WHOLE ABDOMEN AND PELVIC TRIPLE CONTRAST
A-END002,GASTROSCOPY + COLONOSCOPY WITH SEDATION
A-END009,ENDOSCOPIC OTOSCOPY WITH VIDEO
A-EY004,SLIT LAMP BIOMICROSCOPY
A-EY007,BIOMETRY - BOTH EYES
A-EY013,VISUAL FIELD-BOTH EYES
A-EY017,OCT (OPTIC NERVE)
A-EY018,OPTICAL COHERENT TOMOGRAPHY OPTIC NERVE HEAD (BOTH EYES)
A-EY026,DRY EYE PACKAGE
A-EY028,INTRAOCULAR LENS (IOL) MASTER(BIOMETRY) BOTH EYES
A-EY041,OCT ( OPTICAL COHERENCE TOMOGRAPHY) MACULA OS
A-LAB003,SPUTUM AFB (3X)
A-LAB0041,ESTIMATED GLOMERULAR FILTRATION RATE (EGFR)-CRYSTATIN C
A-LAB0106,CHEM RENAL PANEL PRE
A-LAB0112,ANA-IF (FASTING)
A-LAB0116,EMG NCV 2 EXTREMITIES BOTH
A-LAB0138,URINALYSIS-STAT
A-LAB0142,HGT MONITORING
A-LAB0147,SERUM LIPASE
A-LAB015,FECALYSIS WITH EIA
A-LAB0161,RANDOM URINE TOTAL PROTEIN AND CREATININE
A-LAB0166,CALCIUM (SERUM)
A-LAB0186,HCV RNA VIRAL LOAD
A-LAB0193,RANDOM URINE TOTAL PROTEIN/CREA RATIO
A-LAB0202,STRESS TEST (MODIFIED BRUCE)
A-LAB0209,THYROID FUNCTION TEST
A-LAB021601,H PYLORI STOOL ANTIGEN (SEND OUT)
A-LAB025,ANTINUCLEAR ANTIBODIES (ANA) ELIA
A-LAB0256,"LIVER FUNCTION TEST (SGPT, SGOT, ALKALINE PHOSPHATASE, TOTAL BILIRUBIN, DIRECT BILIRUBIN, INDIRECT BILIRUBIN, & TPAG)"
A-LAB0270,PLASMA KETONES
A-LAB02893,SPOT URINE MICROALBUMIN TO CREA RATIO
A-LAB029,C3-BETA COMPLEMENT
A-LAB02905,TREADMILL STRESS TEST – BRUCE
A-LAB02909,SERUM PROCALCITONIN
A-LAB038,CHEST UTZ (FLUID MAPPING)
A-LAB040,SPUTUM GENEXPERT
A-LAB041,GFR (GLOMERULAR FILTRATION RATE WITH DIURETICS)
A-LAB051,(FOBT) FECAL OCCULT BLOOD TEST
A-LAB058,H-PYLORI ANTIGEN TEST  IGG AND IGM
A-LAB075,RENAL QA PANEL
A-LAB0781,LIPID PANEL
A-LAB080,PLASMA ALDOSTERONE
A-LAB084,TROPONIN T HIGH SENSITIVITY
A-LAB092,(PRE BUN) PRE BLOOD UREA NITROGEN
A-LAB099,CYSTATIN C
A-LAB115,PTPA (PROTHROMBINE TIME PERCENTAGE ACTIVITY)
A-LAB123,POST BUN (BLOOD UREA NITROGEN)
A-LAB22023,HISTOPATH MEDIUM
A-MRA002,MRI/MRA CRANIAL PLAIN WITH CONTRAST
A-MRA0021,CT SCAN - CRANIAL PLAIN WITH CONTRAST
A-MRI00025,MRI-LUMBOSACRAL SPINE
A-MRI001600,MRI-STROKE PROTOCOL WITH MRA
A-MRI0032,MRI-LUMBO SACRAL PLAIN
A-MRI0047,MRI-PROSTATE WITH CONTRAST
A-MRI006663,MRI PELVIC PLAIN
A-MRI0070,MRI-MULTIPARAMETRIC OF THE PROSTATE WITH IV CONTRAST
A-MRI00701,MRI-MULTIPARAMETRIC OF THE PROSTATE (PLAIN)
A-MRI0075,MRI-DIFFUSION WEIGHTED
A-MRI00821,MRI THORACOLUMBAR SPINE PLAIN
A-MRI0085,MRI-WHOLE ABDOMEN W/ CONTRAST W/ MRCP
A-MRI0096,MRCP LIVER
A-MRI0104,MRI PELVIS- PROSTATE PROTOCOL~MRCT
A-MRI0105,MRI PELVIS- PROSTATE PROTOCOL~MRCT [14X17 (7)]
A-MRI012132018,MRI-KNEE W/ CONTRAST
A-MRI015011,MRI-CRANIAL AND MRA WITH CONTRAST
A-MRI0151,DW MRI WITH CONTRAST WITH MRA
A-MRI01715,MRI -MULTIPARAMETRIC OF PROSTATE WITH CONTRAST
A-MRI099800,MRI THORACIC SPINE WITH CONTRAST
A-MYO0031,TRANSESOPHAGEAL ECHOCARDIOGRAM WITH 3D
A-MYO00502,PLAIN STRESS ECHO
A-MYO006,STRESS ECHO
A-MYO011,ECG WITH 30 SEC
