"starting_providername","total_util","percent_of_total_util","avg_util","total_patients","percent_of_total_patients","total_claims","percent_of_total_claims","avg_claims_per_patient","total_op_lab_claims","total_op_consult_claims","total_inpatient_claims","total_emergency_claims","total_acu_claims","total_dental_claims","avg_op_consult_claims_per_patient","avg_op_lab_claims_per_patient","avg_inpatient_claims_per_patient","avg_emergency_claims_per_patient","avg_acu_claims_per_patient","avg_dental_claims_per_patient","total_op_lab_util","total_op_consult_util","total_inpatient_util","total_emergency_util","total_acu_util","total_dental_util","avg_op_consult_util_per_patient","avg_op_lab_util_per_patient","avg_inpatient_util_per_patient","avg_emergency_util_per_patient","avg_acu_util_per_patient","avg_dental_util_per_patient"
MANILA DOCTORS HOSPITAL,21037002.550000023,0.018208637054817393,3848.701527625324,854,0.01597904387688277669,5466,0.02026192973936767655,6.4004683840749415,2970,2354,46,90,6,0,2.7564402810304450,3.4777517564402810,0.05386416861826697892,0.10538641686182669789,0.00702576112412177986,0.00000000000000000000,14463739.390000006,1370933.68,4092459.0000000005,1104020.47,5850.01,0.0,1605.3087587822014052,16936.462985948478,4792.1065573770491803,1292.7640163934426230,6.8501288056206089,0
THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,22346327.8400001,0.019341927262661443,3011.63447978438,1295,0.02423051735428945645,7420,0.02750521746544240029,5.7297297297297297,3398,3883,36,67,36,0,2.9984555984555985,2.6239382239382239,0.02779922779922779923,0.05173745173745173745,0.02779922779922779923,0.00000000000000000000,15994780.23,2022551.2299999862,3583996.81,706027.5700000001,38972.0,0.0,1561.8156216216138996,12351.181644787645,2767.5651042471042471,545.1950347490347490,30.0942084942084942,0
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,27402731.520000026,0.02371851176860196,3580.184415991642,1428,0.02671905697445972495,7654,0.02837263267931214715,5.3599439775910364,3021,4344,103,161,25,0,3.0420168067226891,2.1155462184873950,0.07212885154061624650,0.11274509803921568627,0.01750700280112044818,0.00000000000000000000,13768442.01,2494196.3899999997,9374075.990000002,1729785.1300000006,36232.0,0.0,1746.6361274509803922,9641.7661134453781513,6564.4789845938375350,1211.3341246498599440,25.3725490196078431,0
THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,29683262.41000022,0.025692431730327373,3230.3038861682685,1594,0.02982505379361960894,9189,0.03406272820619275152,5.7647427854454203,4159,4732,61,189,48,0,2.9686323713927227,2.6091593475533250,0.03826850690087829360,0.11856963613550815558,0.03011292346298619824,0.00000000000000000000,21707924.139999993,2324760.5999999903,4239281.289999999,1352802.3799999994,58494.0,0.0,1458.4445420326160602,13618.522045169385,2659.5240213299874529,848.6840526976160602,36.6963613550815558,0
COMMONWEALTH HOSPITAL AND MEDICAL CENTER,30434490.750000075,0.026342659544667354,4288.3599760462275,1401,0.02621386472074094864,7097,0.02630788791809227963,5.0656673804425410,3230,3436,100,281,50,0,2.4525339043540328,2.3054960742326909,0.07137758743754461099,0.20057102069950035689,0.03568879371877230550,0.00000000000000000000,18773122.460000005,1944596.629999999,7672390.609999999,1959970.9000000004,84410.15,0.0,1388.0061598857958601,13399.801898643826,5476.3673162027123483,1398.9799428979300500,60.2499286224125625,0
THE MEDICAL CITY,46918054.40000001,0.04061005468137751,5074.416439541425,1454,0.02720553840396669473,9246,0.03427402165572512576,6.3590096286107290,4944,3909,121,229,43,0,2.6884456671251719,3.4002751031636864,0.08321870701513067400,0.15749656121045392022,0.02957359009628610729,0.00000000000000000000,28995211.679999962,2467289.98,13078999.149999999,2314940.5899999994,61613.0,0.0,1696.8981980742778542,19941.686162310867,8995.1851100412654746,1592.1187001375515818,42.3748280605226960,0
ST. LUKE'S MEDICAL CENTER-QC,52117792.85999994,0.045110703011532007,6300.506873791095,1383,0.02587706988492843110,8272,0.03066349850055788884,5.9812002892263196,4163,3752,111,223,23,0,2.7129428778018800,3.0101229211858279,0.08026030368763557484,0.16124367317425885756,0.01663051337671728127,0.00000000000000000000,35750522.00999999,2167443.16,12056323.650000002,2114430.0400000005,29074.0,0.0,1567.2040202458423717,25849.979761388286,8717.5152928416485900,1528.8720462762111352,21.0224150397686189,0
ASIAN HOSPITAL AND MEDICAL CENTER,53868819.13999995,0.0466263087605063,7356.113497200594,1491,0.02789783889980353635,7323,0.02714564791097502660,4.9114688128772636,3267,3702,131,205,17,1,2.4828973843058350,2.1911468812877264,0.08786049631120053655,0.13749161636485580148,0.01140174379610999329,0.00067069081153588196,34507314.74999995,2165709.08,14900599.829999994,2251117.480000001,42348.0,1730.0,1452.5211804158283032,23143.738933601543,9993.6953923541247485,1509.8038095238095238,28.4024144869215292,1.1602951039570758
ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,66830110.710000016,0.05784499133654641,7741.238353990503,1653,0.03092899242211619422,8633,0.03200169034759625899,5.2226255293405929,4231,3952,128,293,29,0,2.3908045977011494,2.5595886267392619,0.07743496672716273442,0.17725347852389594676,0.01754385964912280702,0.00000000000000000000,45013904.39000001,2381192.2399999993,16301747.23,3096650.850000001,36616.0,0.0,1440.5276709013914096,27231.642099213551,9861.9160496067755596,1873.3519963702359347,22.1512401693889897,0
MAKATI MEDICAL CENTER,68393032.91999988,0.059197783075728906,6018.923956701565,1975,0.03695387781831789690,11363,0.04212153450940997231,5.7534177215189873,5530,5437,123,239,34,0,2.7529113924050633,2.8000000000000000,0.06227848101265822785,0.12101265822784810127,0.01721518987341772152,0.00000000000000000000,46603650.56999995,3249377.59,15575038.969999995,2920441.789999999,44524.0,0.0,1645.2544759493670886,23596.785098734127,7886.0956810126582278,1478.7047037974683544,22.5437974683544304,0
