cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
"LIPID PROFILE (INCLUSIONS TOTAL CHOLESTEROL, HDL, LDL, TRIGLYCERIDES, AND VLDL)",Lipid Profile,Laboratory,01 Clinic+
ULTRASOUND-WHOLE ABDOMEN,Ultrasound - Whole Abdomen,Imaging,02 PCC+
HBA1C (GLYCOSYLATED HEMOGLOBIN),HbA1c,Laboratory,01 Clinic+
"THYROID PANEL / SCREEN (FT3, FT4, TSH)",Thyroid Panel,Laboratory,01 Clinic+
2D ECHO WITH COLOR DOPPLER,2D Echo with Doppler,Cardiology,02 PCC+
(TSH) THYROID STIMULATING HORMONE,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
ULTRASOUND-TRANSVAGINAL,Ultrasound - Transvaginal,Imaging,02 PCC+
2D ECHO WITH DOPPLER / WITH COLOR DOPPLER,2D Echo with Doppler,Cardiology,02 PCC+
CREATININE (SERUM/BLOOD),Creatinine,Laboratory,01 Clinic+
(BUA) BLOOD URIC ACID,Blood Uric Acid (BUA),Laboratory,01 Clinic+
(CBC) COMPLETE BLOOD COUNT W/O PLATELET COUNT,Complete Blood Count (CBC),Laboratory,01 Clinic+
SERUM GLUTAMIC PYRUVIC TRANSMINASE / ALANINE TRANSMINASE (SGPT/ALT),SGPT/ALT,Laboratory,01 Clinic+
SERUM GLUTAMIC-OXALOACETIC TRANSAMINASE / ASPARTATE AMINOTRANSFERASE (SGOT/AST),SGOT/AST,Laboratory,01 Clinic+
SERUM POTASSIUM (K),Potassium (K),Laboratory,01 Clinic+
(FBS) FASTING BLOOD SUGAR,Fasting Blood Sugar (FBS),Laboratory,01 Clinic+
SPEEDA,Speeda,Laboratory,01 Clinic+
SODIUM (NA) - SERUM/BLOOD,Sodium (Na),Laboratory,01 Clinic+
ROUTINE URINALYSIS,Urinalysis,Laboratory,01 Clinic+
12-LEAD ECG,Electrocardiogram (ECG),Cardiology,02 PCC+
BLOOD UREA NITROGEN (BUN),Blood Urea Nitrogen (BUN),Laboratory,01 Clinic+
MTB/RIF (GENEXPERT),Mtb/Rif (Genexpert),Laboratory,01 Clinic+
CT SCAN - STONOGRAM PLAIN,CT Scan - Stonogram Plain,Imaging,03 Hospital Only
ESWL - EXTRACORPEAL SHOCK WAVE LITHOTRIPSY (PF INCLUDED/NET OF PHIC),Eswl - Extracorpeal Shock Wave Lithotripsy (Pf Included/Net Of Phic,Urology,03 Hospital Only
IONIZED CALCIUM,Calcium (Ca),Laboratory,01 Clinic+
TOTAL PROTEIN AG RATIO (TPAG),Total Protein Ag Ratio (Tpag),Laboratory,01 Clinic+
DENGUE TEST NS1,Dengue Test,Laboratory,01 Clinic+
PHYSICAL THERAPY - SINGLE SESSION,Physical Therapy - Single Session,Physical Therapy,02 PCC+
XRAY-CHEST PA 11X14 (ADULT),X-Ray - Chest Pa 11X14 (Adult),Imaging,02 PCC+
XRAY-CHEST PAL 11X14 (ADULT),X-Ray - Chest Pal 11X14 (Adult),Imaging,02 PCC+
DENGUE NS1 AG,Dengue Test,Laboratory,01 Clinic+
DENGUE IGG AND IGM,Dengue Test,Laboratory,01 Clinic+
"ULTRASOUND-KIDNEY, URETER, BLADDER (KUB)","Ultrasound - Kidney, Ureter, Bladder (Kub)",Imaging,02 PCC+
24 HOURS AMBULATORY BLOOD PRESSURE MONITORING,24 Hours Ambulatory Blood Pressure Monitoring,Cardiology,02 PCC+
URINE CULTURE AND SENSITIVITY,Urine Culture And Sensitivity,Laboratory,01 Clinic+
CT SCAN - WHOLE ABDOMEN WITH CONTRAST,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
FT4 (FREE THYROXINE),Free T4 (FT4),Laboratory,01 Clinic+
TOTAL PSA (PROSTATE SPECIFIC ANTIGEN),Prostate Specific Antigen (PSA),Laboratory,01 Clinic+
VITAMIN D ASSAY/25-OH/CALCIDIOL 25-HYDROXYCHOLECALCIFOEROL TEST,Vitamin D Assay/25-Oh/Calcidiol 25-Hydroxycholecalcifoerol Test,Laboratory,01 Clinic+
ALT/SGPT (ALANINE AMINOTRANSFERASE),SGPT/ALT,Laboratory,01 Clinic+
URINE MICROALBUMIN CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
24 HOUR HOLTER MONITORING,24 Hour Holter Monitoring,Cardiology,02 PCC+
ULTRASOUND-THYROID,Ultrasound - Thyroid,Imaging,02 PCC+
PROSTATE SPECIFIC ANTIGEN (PSA),Prostate Specific Antigen (PSA),Laboratory,01 Clinic+
2D ECHOCARDIOGRAPHY,2D Echo,Cardiology,02 PCC+
ULTRASOUND - KUB W/ PROSTATE,Ultrasound - Kub,Imaging,02 PCC+
MRI-LUMBOSACRAL SPINE PLAIN,MRI - Lumbosacral Spine Plain,Imaging,03 Hospital Only
TREADMILL STRESS TEST,Treadmill Exercise Test,Cardiology,02 PCC+
VITAMIN D TOTAL (25-OH),Vitamin D Total (25-Oh),Uncategorized,02 PCC+
FREE TRIIODOTHYRONINE (FT3),Free T3 (FT3),Uncategorized,02 PCC+
CT SCAN - WHOLE ABDOMEN,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
BREAST ULTRASOUND - UNILATERAL,Ultrasound - Unilateral,Imaging,02 PCC+
BREAST ULTRASOUND - BILATERAL,Ultrasound - Bilateral,Imaging,02 PCC+
MRI - CERVICAL SPINE,MRI - Cervical Spine,Imaging,03 Hospital Only
CT SCAN-CHEST PLAIN,CT Scan - Chest Plain,Imaging,03 Hospital Only
MRI-KNEE PLAIN (UNILATERAL),MRI - Knee Plain (Unilateral),Imaging,03 Hospital Only
XRAY-LUMBOSACRAL,X-Ray - Lumbosacral,Imaging,02 PCC+
MRI -LUMBAR SPINE,MRI - Lumbar Spine,Imaging,03 Hospital Only
CT SCAN CRANIAL (PLAIN),CT Scan - Cranial (Plain),Imaging,03 Hospital Only
CT SCAN-CHEST WITH CONTRAST,CT Scan - Chest,Imaging,03 Hospital Only
FERRITIN,Ferritin,Uncategorized,02 PCC+
ULTRASOUND-TRANSVAGINAL (NON-PREGNANT),Ultrasound - Transvaginal (Non-Pregnant),Imaging,02 PCC+
PROSTATE-SPECIFIC ANTIGEN (PSA) FREE,Prostate Specific Antigen (PSA),Laboratory,01 Clinic+
CHEMISTRY 12,Chemistry 12,Uncategorized,02 PCC+
X-RAY CHEST PA VIEW,X-Ray - Chest Pa View,Imaging,02 PCC+
ULTRASOUND-NECK,Ultrasound - Neck,Imaging,02 PCC+
ULTRASOUND-MUSCULOSKELETAL,Ultrasound - Musculoskeletal,Imaging,02 PCC+
MRI - HEAD/BRAIN/CRANIAL (PLAIN),MRI - Head/Brain/Cranial (Plain),Imaging,03 Hospital Only
MICRO ALBUMIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
ULTRASOUND-TRANSRECTAL,Ultrasound - Transrectal,Imaging,02 PCC+
CT SCAN - HEAD/BRAIN/CRANIAL (PLAIN),CT Scan - Head/Brain/Cranial (Plain),Imaging,03 Hospital Only
VITAMIN D TOTAL,Vitamin D Total,Uncategorized,02 PCC+
(PT) PROTHROMBINE TIME OR PROTIME,Prothrombin Time (PT),Uncategorized,02 PCC+
CHLORIDE,Chloride (Cl),Uncategorized,02 PCC+
ULTRASOUND-BIOPHYSICAL PROFILE SCORING,Ultrasound - Biophysical Profile Scoring,Imaging,02 PCC+
MAMMOGRAM,Mammogram,Imaging,02 PCC+
FIBROSCAN,Fibroscan,Uncategorized,02 PCC+
DENGUE DUO (DENGUE NS1 AG + IGG/IGM),Dengue Test,Laboratory,01 Clinic+
CT-STONOGRAM,Ct-Stonogram,Imaging,02 PCC+
ULTRASOUND-CONGENITAL ANOMALY SCAN,Ultrasound - Congenital Anomaly Scan,Imaging,02 PCC+
"LIVER FUNCTION TEST (ALT, ALP,TPA/G,TB,B1,B2,GGT)","Liver Function Test (Alt), Alp,Tpa/G,Tb,B1,B2,Ggt",Laboratory,01 Clinic+
VITAMIN B-12,Vitamin B-12,Uncategorized,02 PCC+
MAGNESIUM,Magnesium (Mg),Laboratory,01 Clinic+
THYROID STIMULATING HORMONE (TSH) ECLIA,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
XRAY-CERVICAL SPINE APL,X-Ray - Cervical Spine Apl,Imaging,02 PCC+
CRP HIGH SENSITIVITY,Crp High Sensitivity,Uncategorized,02 PCC+
CREATININE WITH EGFR,Creatinine,Laboratory,01 Clinic+
