physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
8501 - ST. LUKE'S MEDICAL CENTER-QC,8501,ST. LUKE'S MEDICAL CENTER-QC,REYNALDO DELA FUENTE ROSALES,Endocrinology,7,18,1019878.88,145696.98,7,1,1.86,13,19239.82,250117.6,35731.09,1,0.14,1,1,767761.28,767761.28,109680.18,1,0.14,4,4,500,2000,285.71,42800,6114.29
90013736 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90013736,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FLORDELIZ FLORETO LONTOK,Internal Medicine,9,50,1073871.65,119319.07,9,1,3.89,35,9717.77,340121.81,37791.31,2,0.22,1.5,3,242256.61,726769.84,80752.2,4,0.44,3,12,581.67,6980,775.56,19600,2177.78
9846 - ASIAN HOSPITAL AND MEDICAL CENTER,9846,ASIAN HOSPITAL AND MEDICAL CENTER,JOY C. FONTANILLA,Endocrinology,8,114,917810.72,114726.34,7,0.88,6.43,45,10128.85,455798.12,56974.77,3,0.38,1,3,139005.58,417016.75,52127.09,8,1,8.25,66,681.76,44995.85,5624.48,78060,9757.5
35374 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,35374,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,LAURENCIA GUERRERO TRINCHERA,Rheumatology,7,63,580304.19,82900.6,7,1,7.29,51,9941.79,507031.19,72433.03,1,0.14,1,1,65091.4,65091.4,9298.77,6,0.86,1.83,11,743.78,8181.6,1168.8,19880,2840
1487 - MAKATI MEDICAL CENTER,1487,MAKATI MEDICAL CENTER,JULIET A. YAP,Cardiology,18,163,1402645.45,77924.75,14,0.78,5.29,74,7801.15,577285.15,32071.4,5,0.28,1.2,6,118862.63,713175.8,39620.88,18,1,4.61,83,1351.62,112184.5,6232.47,82718,4595.44
90025598 - ASIAN HOSPITAL AND MEDICAL CENTER,90025598,ASIAN HOSPITAL AND MEDICAL CENTER,PATRICCIA ANNE DELA ROSA SALONGA,Internal Medicine,18,122,1399923.6,77773.53,16,0.89,3.44,55,10349.25,569208.74,31622.71,4,0.22,1.25,5,149023.19,745115.97,41395.33,16,0.89,3.88,62,1380.63,85598.89,4755.49,49970,2776.11
100075 - MAKATI MEDICAL CENTER,100075,MAKATI MEDICAL CENTER,MARIA LEONORA DEL ROSARIO CAPELLAN,Endocrinology,13,120,917177.46,70552.11,12,0.92,5.75,69,9414.24,649582.57,49967.89,3,0.23,1,3,59699.48,179098.45,13776.8,12,0.92,4,48,1843.68,88496.44,6807.42,66820,5140
5439 - MAKATI MEDICAL CENTER,5439,MAKATI MEDICAL CENTER,JOSE T. SANCHEZ,Interventional Cardiology,12,102,844546.85,70378.9,10,0.83,4.3,43,9823.32,422402.65,35200.22,2,0.17,1,2,194611.6,389223.2,32435.27,12,1,4.75,57,577.56,32921,2743.42,51365,4280.42
90021469 - ST. LUKE'S MEDICAL CENTER-QC,90021469,ST. LUKE'S MEDICAL CENTER-QC,RAMONA NERISSA ESPERA LOBATON,Nephrology,10,88,692105.09,69210.51,8,0.8,5.5,44,7100.24,312410.44,31241.04,2,0.2,1.5,3,106782.29,320346.86,32034.69,9,0.9,4.56,41,1447.51,59347.79,5934.78,39130,3913
90014953 - THE MEDICAL CITY,90014953,THE MEDICAL CITY,ANTHONY NATINO LONTOC,Interventional Cardiology,37,278,2514702.53,67964.93,34,0.92,4.68,159,7965.78,1266559.27,34231.33,6,0.16,1.17,7,154734.43,1083141,29274.08,33,0.89,3.39,112,1473.23,165002.26,4459.52,163630,4422.43
90027963 - ST. LUKE'S MEDICAL CENTER-QC,90027963,ST. LUKE'S MEDICAL CENTER-QC,FRANCESCA PAULA TAN BAUTISTA,Endocrinology,10,101,664147.43,66414.74,7,0.7,6.57,46,5179.9,238275.3,23827.53,2,0.2,1,2,193046.71,386093.41,38609.34,10,1,5.3,53,750.54,39778.72,3977.87,37200,3720
90011051 - DILIMAN DOCTORS HOSPITAL INC.,90011051,DILIMAN DOCTORS HOSPITAL INC.,MARCO POCA ANTOLIN,Cardiology,16,127,1054780.89,65923.81,12,0.75,4.83,58,6459.85,374671.28,23416.96,4,0.25,1,4,145656.52,582626.08,36414.13,16,1,4.06,65,1499.75,97483.53,6092.72,79267,4954.19
100004 - MAKATI MEDICAL CENTER,100004,MAKATI MEDICAL CENTER,OLIVER M. SANSANO,Cardiology,8,72,524681.22,65585.15,7,0.88,5.57,39,11224.43,437752.7,54719.09,1,0.13,1,1,63152.02,63152.02,7894,8,1,4,32,743.02,23776.5,2972.06,44265,5533.13
4728 - ASIAN HOSPITAL AND MEDICAL CENTER,4728,ASIAN HOSPITAL AND MEDICAL CENTER,SOTERO CUADRATO CRISOSTOMO JR.,Cardiology,11,85,717528.77,65229.89,8,0.73,3.63,29,8652.87,250933.27,22812.12,2,0.18,1.5,3,141484.17,424452.5,38586.59,11,1,4.82,53,795.15,42143,3831.18,35020,3183.64
90010496 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90010496,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,VISVANATH EREVE ESPALDON,Interventional Cardiology,14,45,890409.98,63600.71,10,0.71,2,20,14146.12,282922.37,20208.74,1,0.07,1,1,592827.61,592827.61,42344.83,13,0.93,1.85,24,610.83,14660,1047.14,28700,2050
4728 - MAKATI MEDICAL CENTER,4728,MAKATI MEDICAL CENTER,SOTERO CUADRATO CRISOSTOMO JR.,Cardiology,23,112,1454771.28,63250.93,19,0.83,2.58,49,11702.58,573426.53,24931.59,3,0.13,1.33,4,208507.56,834030.25,36262.18,20,0.87,2.95,59,801.94,47314.5,2057.15,84970,3694.35
90023558 - ASIAN HOSPITAL AND MEDICAL CENTER,90023558,ASIAN HOSPITAL AND MEDICAL CENTER,GIAN CARLO ALVERO CARPIO,Gastroenterology,12,77,729880.39,60823.37,11,0.92,3.64,40,17563.26,702530.29,58544.19,0,0,0,0,0,0,0,12,1,3.08,37,739.19,27350.1,2279.18,102560,8546.67
90012767 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90012767,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,CLARA SY TOLENTINO,Cardiology,13,72,787901.08,60607.78,12,0.92,2.75,33,14745.42,486598.92,37430.69,2,0.15,1,2,134782.24,269564.48,20735.73,10,0.77,3.7,37,857.78,31737.68,2441.36,42970,3305.38
25201 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,25201,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JONNAH FATIMA BALTASAR PELAT,Cardiology,24,116,1429499.83,59562.49,14,0.58,4.29,60,10150.46,609027.73,25376.16,3,0.13,1,3,259096.53,777289.6,32387.07,22,0.92,2.41,53,814.76,43182.5,1799.27,58105,2421.04
90007164 - CARDINAL SANTOS MEDICAL CENTER,90007164,CARDINAL SANTOS MEDICAL CENTER,ARIEL ANGELES MIRANDA,Interventional Cardiology,24,127,1417582.96,59065.96,21,0.88,4.38,92,7491.76,689241.99,28718.42,1,0.04,2,2,354720.49,709440.97,29560.04,15,0.63,2.2,33,572.73,18900,787.5,43570,1815.42
35392 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,35392,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ARSENIO C. CABURNAY,Cardiology,17,109,989386.43,58199.2,15,0.88,4.13,62,13942.47,864432.89,50848.99,0,0,0,0,0,0,0,14,0.82,3.36,47,2658.59,124953.54,7350.21,61250,3602.94
90009305 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90009305,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,CRISTINA CHUA CHUA,Nephrology,8,75,457312.14,57164.02,8,1,3.5,28,3699.16,103576.6,12947.08,4,0.5,1.25,5,66102.71,330513.54,41314.19,7,0.88,6,42,552.9,23222,2902.75,79680,9960
90027797 - MAKATI MEDICAL CENTER,90027797,MAKATI MEDICAL CENTER,ROSARIO SOLEDAD CABRERA NERI,Cardiology,24,135,1365801.82,56908.41,20,0.83,3.35,67,9522.65,638017.4,26584.06,5,0.21,1.2,6,111473.36,668840.16,27868.34,22,0.92,2.82,62,950.71,58944.26,2456.01,123640,5151.67
90025466 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90025466,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,SAHRA MAY OCAMPO PARAGAS,Endocrinology,8,31,447567.6,55945.95,6,0.75,2.17,13,11809.54,153524,19190.5,1,0.13,1,1,257906.1,257906.1,32238.26,6,0.75,2.83,17,2125.74,36137.5,4517.19,16400,2050
15401 - MAKATI MEDICAL CENTER,15401,MAKATI MEDICAL CENTER,FILOTEO C. FERRER,Nephrology,14,144,778618.94,55615.64,13,0.93,4.54,59,6681.03,394180.54,28155.75,3,0.21,1,3,108722.57,326167.7,23297.69,13,0.93,6.31,82,710.62,58270.7,4162.19,42640,3045.71
90030010 - CARDINAL SANTOS MEDICAL CENTER,90030010,CARDINAL SANTOS MEDICAL CENTER,AIRA BUENAVENTURA BERINGUEL,Cardiology,19,101,1046901.82,55100.1,11,0.58,3.82,42,13521.87,567918.41,29890.44,3,0.16,1,3,139387.96,418163.89,22008.63,18,0.95,3.11,56,1086.06,60819.52,3201.03,61740,3249.47
90023839 - ST. LUKE'S MEDICAL CENTER-QC,90023839,ST. LUKE'S MEDICAL CENTER-QC,JOSE BERNARDO AQUINO CALATRAVA,Cardiology,44,319,2415623.19,54900.53,37,0.84,4.54,168,10833.02,1819947.74,41362.45,4,0.09,1,4,104784.4,419137.58,9525.85,42,0.95,3.5,147,1200.94,176537.87,4012.22,89855,2042.16
