physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
8501 - ST. LUKE'S MEDICAL CENTER-QC,8501,ST. LUKE'S MEDICAL CENTER-QC,REYNALDO DELA FUENTE ROSALES,Endocrinology,7,18,1019878.88,145696.98,7.00,1.00,1.86,13.00,19239.82,250117.60,35731.09,1.00,0.14,1.00,1.00,767761.28,767761.28,109680.18,1.00,0.14,4.00,4.00,500.00,2000.00,285.71,42800.00,6114.29
90013736 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90013736,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FLORDELIZ FLORETO LONTOK,Internal Medicine,9,50,1073871.65,119319.07,9.00,1.00,3.89,35.00,9717.77,340121.81,37791.31,2.00,0.22,1.50,3.00,242256.61,726769.84,80752.20,4.00,0.44,3.00,12.00,581.67,6980.00,775.56,19600.00,2177.78
9846 - ASIAN HOSPITAL AND MEDICAL CENTER,9846,ASIAN HOSPITAL AND MEDICAL CENTER,JOY C. FONTANILLA,Endocrinology,8,114,917810.72,114726.34,7.00,0.88,6.43,45.00,10128.85,455798.12,56974.77,3.00,0.38,1.00,3.00,139005.58,417016.75,52127.09,8.00,1.00,8.25,66.00,681.76,44995.85,5624.48,78060.00,9757.50
35374 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,35374,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,LAURENCIA GUERRERO TRINCHERA,Rheumatology,7,63,580304.19,82900.60,7.00,1.00,7.29,51.00,9941.79,507031.19,72433.03,1.00,0.14,1.00,1.00,65091.40,65091.40,9298.77,6.00,0.86,1.83,11.00,743.78,8181.60,1168.80,19880.00,2840.00
1487 - MAKATI MEDICAL CENTER,1487,MAKATI MEDICAL CENTER,JULIET A. YAP,Cardiology,18,163,1402645.45,77924.75,14.00,0.78,5.29,74.00,7801.15,577285.15,32071.40,5.00,0.28,1.20,6.00,118862.63,713175.80,39620.88,18.00,1.00,4.61,83.00,1351.62,112184.50,6232.47,82718.00,4595.44
90025598 - ASIAN HOSPITAL AND MEDICAL CENTER,90025598,ASIAN HOSPITAL AND MEDICAL CENTER,PATRICCIA ANNE DELA ROSA SALONGA,Internal Medicine,18,122,1399923.60,77773.53,16.00,0.89,3.44,55.00,10349.25,569208.74,31622.71,4.00,0.22,1.25,5.00,149023.19,745115.97,41395.33,16.00,0.89,3.88,62.00,1380.63,85598.89,4755.49,49970.00,2776.11
100075 - MAKATI MEDICAL CENTER,100075,MAKATI MEDICAL CENTER,MARIA LEONORA DEL ROSARIO CAPELLAN,Endocrinology,13,120,917177.46,70552.11,12.00,0.92,5.75,69.00,9414.24,649582.57,49967.89,3.00,0.23,1.00,3.00,59699.48,179098.45,13776.80,12.00,0.92,4.00,48.00,1843.68,88496.44,6807.42,66820.00,5140.00
5439 - MAKATI MEDICAL CENTER,5439,MAKATI MEDICAL CENTER,JOSE T. SANCHEZ,Interventional Cardiology,12,102,844546.85,70378.90,10.00,0.83,4.30,43.00,9823.32,422402.65,35200.22,2.00,0.17,1.00,2.00,194611.60,389223.20,32435.27,12.00,1.00,4.75,57.00,577.56,32921.00,2743.42,51365.00,4280.42
90021469 - ST. LUKE'S MEDICAL CENTER-QC,90021469,ST. LUKE'S MEDICAL CENTER-QC,RAMONA NERISSA ESPERA LOBATON,Nephrology,10,88,692105.09,69210.51,8.00,0.80,5.50,44.00,7100.24,312410.44,31241.04,2.00,0.20,1.50,3.00,106782.29,320346.86,32034.69,9.00,0.90,4.56,41.00,1447.51,59347.79,5934.78,39130.00,3913.00
90014953 - THE MEDICAL CITY,90014953,THE MEDICAL CITY,ANTHONY NATINO LONTOC,Interventional Cardiology,37,278,2514702.53,67964.93,34.00,0.92,4.68,159.00,7965.78,1266559.27,34231.33,6.00,0.16,1.17,7.00,154734.43,1083141.00,29274.08,33.00,0.89,3.39,112.00,1473.23,165002.26,4459.52,163630.00,4422.43
